ReportNumber,Date,Section,Description,Address,Person_Charged
2201268,2022-02-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5000 BUTTE ST,Yes
2201224,2022-02-08,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2831 13TH ST,Yes
2201119,2022-02-05,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,837 20TH ST,
2201111,2022-02-05,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,976 PLEASANT ST,
2201110,2022-02-05,Section: 5-9-6,UNREASONABLE NOISE - 11 PM TO 7 AM,1133 11TH ST,
2201238,2022-01-29,Section: 5-9-5,DISRUPTING QUIET ENJOYMENT OF HOME,1155 MARINE ST,
2200879,2022-01-25,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,2216 GOSS CIR E,Yes
2200687,2022-01-23,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,3011 WASHINGTON ST,Yes
2200543,2022-01-16,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,4990 OSAGE DR,Yes
2200191,2022-01-06,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,1535 JUDSON DR,Yes
2200074,2022-01-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,5345 WILD DUNES CT,Yes
2200071,2022-01-04,Section: 6-1-19,BARKING/HOWLING OR OTHER UNREASONABLE NOISE PROHIBITED,OURAY ST/STAR LN,Yes
